num_processes,N,time_seconds,throughput_GBps,speedup,efficiency
1,300000000,0.660963987,3.631060159,0.996920719,99.692071877
2,300000000,0.355832923,6.744738457,1.851792373,92.589618668
4,300000000,0.265028316,9.055636153,2.486257706,62.156442653
8,300000000,0.191592009,12.526618477,3.439228475,42.990355942
10,300000000,0.195363241,12.284808481,3.372838665,33.728386652
